acc_cls.created_by -> users.id  [acc_cls_created_by_users_fk]
acc_cls.module_id -> modules.id  [acc_cls_module_id_modules_fk]
acc_cls_attrs.acc_cls_id -> acc_cls.id  [acc_cls_attrs_acc_cls_id_acc_cls_fk]
acc_cls_attrs.created_by -> users.id  [acc_cls_attrs_created_by_users_fk]
acc_cls_attrs.data_type_id -> data_types.id  [acc_cls_attrs_data_type_id_data_types_fk]
acc_cls_attrs.entity_link_id -> entities.id  [acc_cls_attrs_entity_link_id_entities_fk]
acc_datas.created_by -> users.id  [acc_datas_created_by_users_fk]
acc_datas.entity_id -> entities.id  [acc_datas_entity_id_entities_fk]
acc_move_acc_cls.acc_cls_id -> acc_cls.id  [acc_move_acc_cls_acc_cls_id_acc_cls_fk]
acc_move_acc_cls.move_id -> acc_moves.id  [acc_move_acc_cls_move_id_acc_moves_fk]
acc_moves.created_by -> users.id  [acc_moves_created_by_users_fk]
acc_moves.entity_id -> entities.id  [acc_moves_entity_id_entities_fk]
acc_moves.move_id -> acc_moves.id  [acc_moves_move_id_acc_moves_fk]
acc_moves.updated_by -> users.id  [acc_moves_updated_by_users_fk]
acc_oper_posts.created_by -> users.id  [acc_oper_posts_created_by_users_fk]
acc_oper_posts.oper_id -> acc_opers.id  [acc_oper_posts_oper_id_acc_opers_fk]
acc_oper_posts.post_id -> acc_posts.id  [acc_oper_posts_post_id_acc_posts_fk]
acc_opers.created_by -> users.id  [acc_opers_created_by_users_fk]
acc_opers.entity_id -> entities.id  [acc_opers_entity_id_entities_fk]
acc_posts.cls_id -> acc_cls.id  [acc_posts_cls_id_acc_cls_fk]
acc_posts.created_by -> users.id  [acc_posts_created_by_users_fk]
acc_posts.data_id -> acc_datas.id  [acc_posts_data_id_acc_datas_fk]
accounts.company_work_id -> accounts.id  [accounts_company_work_id_accounts_fk]
accounts.created_by -> users.id  [accounts_created_by_users_fk]
accounts.dep_id -> deps.id  [accounts_dep_id_deps_fk]
accounts.head_user_id -> users.id  [accounts_head_user_id_users_fk]
accounts.img_file_id -> files.id  [accounts_img_file_id_files_fk]
accounts.imp_task_row_id -> imp_task_rows.id  [accounts_imp_task_row_id_imp_task_rows_fk]
accounts.manager_id -> users.id  [accounts_manager_id_users_fk]
accounts.offer_file_id -> files.id  [accounts_offer_file_id_files_fk]
accounts.one_parent_id -> accounts.id  [accounts_one_parent_id_accounts_fk]
accounts.parent_id -> accounts.id  [accounts_parent_id_accounts_fk]
accounts.stamp_file_id -> files.id  [accounts_stamp_file_id_files_fk]
accounts.updated_by -> users.id  [accounts_updated_by_users_fk]
accounts.x_city -> cities.id  [accounts_x_city_cities_fk]
adr_type.created_by -> users.id  [adr_type_created_by_users_fk]
angular_menu.bp_process_id -> bp_processes.id  [angular_menu_bp_process_id_bp_processes_fk]
angular_menu.created_by -> users.id  [angular_menu_created_by_users_fk]
angular_menu.parent_id -> angular_menu.id  [angular_menu_parent_id_angular_menu_fk]
angular_menu.place_id -> angular_menu_place.id  [angular_menu_place_id_angular_menu_place_fk]
angular_menu_place.created_by -> users.id  [angular_menu_place_created_by_users_fk]
angular_menu_role.angular_menu_id -> angular_menu.id  [angular_menu_role_angular_menu_id_angular_menu_fk]
angular_menu_role.role_id -> roles.id  [angular_menu_role_role_id_roles_fk]
angular_widget.created_by -> users.id  [angular_widget_created_by_users_fk]
angular_widget.module_id -> modules.id  [angular_widget_module_id_modules_fk]
api_groups.created_by -> users.id  [api_groups_created_by_users_fk]
apis.created_by -> users.id  [apis_created_by_users_fk]
apis.group_id -> api_groups.id  [apis_group_id_api_groups_fk]
auth_profiles.created_by -> users.id  [auth_profiles_created_by_users_fk]
auth_tokens.created_by -> users.id  [auth_tokens_created_by_users_fk]
auth_tokens.profile_id -> auth_profiles.id  [auth_tokens_profile_id_auth_profiles_fk]
auth_tokens.user_id -> users.id  [auth_tokens_user_id_users_fk]
biz_region.created_by -> users.id  [biz_region_created_by_users_fk]
biz_region.parent_id -> biz_region.id  [biz_region_parent_id_biz_region_fk]
bot_abonent.created_by -> users.id  [bot_abonent_created_by_users_fk]
bot_params.bot_abonent_id -> bot_abonent.id  [bot_params_bot_abonent_id_bot_abonent_fk]
bot_params.created_by -> users.id  [bot_params_created_by_users_fk]
bp_actor_types.created_by -> users.id  [bp_actor_types_created_by_users_fk]
bp_actors.created_by -> users.id  [bp_actors_created_by_users_fk]
bp_actors.module_id -> modules.id  [bp_actors_module_id_modules_fk]
bp_actors.role_id -> roles.id  [bp_actors_role_id_roles_fk]
bp_at_langs.created_by -> users.id  [bp_at_langs_created_by_users_fk]
bp_at_langs.detail_id -> details.id  [bp_at_langs_detail_id_details_fk]
bp_at_usertasks.at_id -> bp_ats.id  [bp_at_usertasks_at_id_bp_ats_fk]
bp_at_usertasks.created_by -> users.id  [bp_at_usertasks_created_by_users_fk]
bp_at_usertasks.point_id -> bp_points.id  [bp_at_usertasks_point_id_bp_points_fk]
bp_at_ut_vars.created_by -> users.id  [bp_at_ut_vars_created_by_users_fk]
bp_at_ut_vars.ut_id -> bp_at_usertasks.id  [bp_at_ut_vars_ut_id_bp_at_usertasks_fk]
bp_at_ut_vars.var_id -> bp_process_vars.id  [bp_at_ut_vars_var_id_bp_process_vars_fk]
bp_ats.created_by -> users.id  [bp_ats_created_by_users_fk]
bp_ats.process_id -> bp_processes.id  [bp_ats_process_id_bp_processes_fk]
bp_instance_debug.created_by -> users.id  [bp_instance_debug_created_by_users_fk]
bp_instances.created_by -> users.id  [bp_instances_created_by_users_fk]
bp_instances.finish_point_id -> bp_points.id  [bp_instances_finish_point_id_bp_points_fk]
bp_instances.parent_id -> bp_instances.id  [bp_instances_parent_id_bp_instances_fk]
